POPULAR1MF,8,8.1,8,8,463000
POPULARLIF,381,384.5,383.9,384.6,18500
POWERGRID,795,808,807.75,795.5,95600
PRAGATIINS,934,928,923.5,929.25,2360
PRAGATILIF,3230,3225,3192.75,3179.75,1650
PREMIERBAN,33.6,33.7,33.5,33.4,1019500
PREMIERLEA,740,738,733.75,736.25,31000
PRIME1ICBA,9.5,9.7,9.6,9.5,92000
PRIMEBANK,46.6,47.4,47.5,46.9,2676500
PRIMEFIN,153,154.2,152.4,153.2,253200
PRIMEINSUR,73,72.3,72.4,73.4,93750
PRIMELIFE,320,325,322.6,327.1,54400
PRIMETEX,539,535,534.5,535.25,21300
PROGRESLIF,2625,2585.5,2598,2633.25,1050
PROVATIINS,559,558,558,562.75,2100
PUBALIBANK,55,55.7,55.3,54.8,1600625
PURABIGEN,1157.5,1160.25,1161.25,1175.75,1050
QSMDRYCELL,84,87,86.2,85.5,293000
RAHIMAFOOD,445,442,438.75,437.75,9350
RAHIMTEXT,2395,2400,2331.25,2395,95
RAKCERAMIC,105,105.3,105,103.5,1063200
RANFOUNDRY,84.5,86.8,85.3,84.3,51000
RECKITTBEN,1189,1218,1213.7,1146.7,9800
RELIANCINS,1136.25,1122,1132.75,1158.75,850
RENATA,10665,10681,10695.25,10653,6050
RENWICKJA,820,835,825.25,826.25,255
REPUBLIC,638,632,629.25,633.5,7300
RNSPIN,79.5,78.9,78.4,78.6,996250
RUPALIBANK,1415,1419,1401.25,1407.75,1000
RUPALIINS,127.4,127.3,127.3,125.3,88300
RUPALILIFE,2665,2591.25,2602,2603.25,8250
SAFKOSPINN,435,430,427.5,438.25,18350
SAIHAMTEX,63.4,64.4,64.1,64.3,98000
SALAMCRST,562,584.25,585.25,556.25,135000
SALVOCHEM,53.5,55,54.4,53.3,1257500
SAMATALETH,201.5,205,202,215.5,500
SAMORITA,1081,0,1080.25,1080.25,0
SANDHANINS,388,378.7,378.1,383,275600
SAPORTL,80,81.4,80.9,79.1,240000
SAVAREFR,682,680,681,704.5,35
SEBL1STMF,8.7,9,8.8,8.9,23000
SHAHJABANK,38.1,38.6,38.3,38.2,1563450
SHYAMPSUG,17.5,16.4,17,16.5,3800
SIBL,22.8,22.7,22.7,22.6,3864750
SINGERBD,2799,2799,2797,2773,4740
SINOBANGLA,44.3,44.6,44.5,45.1,180500
SONALIANSH,1707,1720,1725,1726,930
SONARBAINS,530,535.5,534.75,534.25,14050
SONARGAON,490,488.75,485.25,492.5,17650
SOUTHEASTB,318.75,320.25,320.5,319.5,695450
SPCERAMICS,51,51.8,51.6,50.9,762500
SQUARETEXT,134,142.4,139.3,136,1316250
SQURPHARMA,3478,3545,3542.25,3463.5,68252
STANCERAM,465.25,477,473,477,1350
STANDARINS,539.75,522,529.5,527.75,8050
STANDBANKL,321,331.75,327.5,325.25,286650
STYLECRAFT,5800,0,5775,5775,0
SUMITPOWER,79,82,81.5,80,758500
TAKAFULINS,785,775,774.25,791.25,9000
TALLUSPIN,614.75,608.25,608.5,610.5,4740
TITASGAS,784,805.5,802.25,780.75,422900
TRUSTB1MF,11.8,12.1,12.1,11.8,2261500
TRUSTBANK,439,446.5,444.25,440.25,75650
UCBL,58.8,59.1,58.8,58.2,5344550
ULC,817,827,826.25,830.75,21240
UNIONCAP,97,99,98,96.9,515500
UNITEDAIR,46.6,46.5,46.2,46.2,2941200
UNITEDINS,890.5,906,904.5,894,2660
USMANIAGL,1358,1370,1355.25,1373,970
UTTARABANK,78.6,79.8,79.4,79.2,686925
UTTARAFIN,177.7,182,180.6,179.8,167650
ZEALBANGLA,18.9,19,18.9,19,12200
