NHFIL,1070,1071.5,1070,0,1066.25,500
NITOLINS,0,0,0,0,661,0
NORTHERN,0,0,0,0,40.4,0
NORTHRNINS,669.5,670,665.5,0,668.25,1450
NPOLYMAR,0,0,0,0,737.25,0
NTC,0,0,0,0,4949.5,0
NTLTUBES,0,0,0,0,936.75,0
OCL,82,83.3,80.9,0,79.7,4100
OLYMPIC,1939.5,1945,1921,0,1902,4350
ONEBANKLTD,509.5,516.5,506,0,505,89150
ORIONINFU,670,674,656,0,660.75,9020
PADMAOIL,0,0,0,0,733.2,0
PARAMOUNT,0,0,0,0,529.25,0
PEOPLESINS,48.2,49,47.5,0,48.4,87800
PF1STMF,12.3,12.4,12.3,0,12.2,21000
PHARMAID,2550,2565,2500,0,2552.25,95
PHENIXINS,89.9,90,87.1,0,87.7,3000
PHOENIXFIN,960,960,950,0,949,3600
PHPMF1,8,8,7.9,0,7.8,162000
PIONEERINS,0,0,0,0,1004.25,0
PLFSL,119.8,119.8,118.8,0,118.6,156800
POPULAR1MF,8.2,8.3,8.1,0,8,274500
POPULARLIF,0,0,0,0,383.9,0
POWERGRID,802,809,802,0,807.75,700
PRAGATIINS,900,900,875,0,923.5,80
PRAGATILIF,0,0,0,0,3192.75,0
PREMIERBAN,33.8,33.9,33.4,0,33.5,119750
PREMIERLEA,747,748,739,0,733.75,8750
PRIME1ICBA,9.8,9.8,9.6,0,9.6,13000
PRIMEBANK,47.7,48.5,47.4,0,47.5,220250
PRIMEFIN,153.8,154.9,152.5,0,152.4,9450
PRIMEINSUR,72.6,72.6,72,0,72.4,3000
PRIMELIFE,325,325,323.2,0,322.6,700
PRIMETEX,542,542,541,0,534.5,1300
PROGRESLIF,0,0,0,0,2598,0
PROVATIINS,0,0,0,0,558,0
PUBALIBANK,55.4,56.8,54.9,0,55.3,242850
PURABIGEN,0,0,0,0,1161.25,0
QSMDRYCELL,88.1,88.5,86,0,86.2,35000
RAHIMAFOOD,446.75,446.75,440,0,438.75,150
RAHIMTEXT,0,0,0,0,2331.25,0
RAKCERAMIC,109.7,110,105.6,0,105,466000
RANFOUNDRY,87.5,87.9,86.6,0,85.3,10000
RECKITTBEN,1245,1245,1210,0,1213.7,2300
RELIANCINS,0,0,0,0,1132.75,0
RENATA,0,0,0,0,10695.25,0
RENWICKJA,840,840,840,0,825.25,5
REPUBLIC,637,637,637,0,629.25,100
RNSPIN,80.6,80.7,79,0,78.4,392500
RUPALIBANK,0,0,0,0,1401.25,0
RUPALIINS,130.9,131.8,127.5,0,127.3,38500
RUPALILIFE,2610,2625,2600,0,2602,1000
SAFKOSPINN,435,436.5,428.5,0,427.5,1200
SAIHAMTEX,64.6,64.9,63.8,0,64.1,21300
SALAMCRST,602,604,580,0,585.25,45150
SALVOCHEM,55.1,55.8,54.9,0,54.4,159500
SAMATALETH,0,0,0,0,202,0
SAMORITA,0,0,0,0,1080.25,0
SANDHANINS,379.9,383.5,376.1,0,378.1,21350
SAPORTL,82.2,82.2,80.1,0,80.9,41300
SAVAREFR,0,0,0,0,681,0
SEBL1STMF,9.2,9.2,9.1,0,8.8,13000
SHAHJABANK,38.5,39,38.1,0,38.3,250600
SHYAMPSUG,0,0,0,0,17,0
SIBL,23.8,23.9,23.2,0,22.7,3397000
SINGERBD,2800.5,2825,2800,0,2797,995
SINOBANGLA,44.1,44.1,44.1,0,44.5,5000
SONALIANSH,0,0,0,0,1725,0
SONARBAINS,534.25,534.25,534,0,534.75,150
SONARGAON,492,492,482,0,485.25,1550
SOUTHEASTB,324.75,327,321.5,0,320.5,152700
SPCERAMICS,52.1,52.1,51.4,0,51.6,197100
SQUARETEXT,144.8,145,138.4,0,139.3,140850
SQURPHARMA,3575,3590,3555,0,3542.25,6969
STANCERAM,0,0,0,0,473,0
STANDARINS,0,0,0,0,529.5,0
STANDBANKL,327.25,330,322,0,327.5,31500
STYLECRAFT,0,0,0,0,5775,0
SUMITPOWER,81.8,82.3,81.3,0,81.5,59400
TAKAFULINS,775.5,784.75,775.5,0,774.25,200
TALLUSPIN,609,617.75,608,0,608.5,310
TITASGAS,805,810,797.25,0,802.25,20550
TRUSTB1MF,12.6,12.6,12.2,0,12.1,771000
TRUSTBANK,440,455,438,0,444.25,9900
UCBL,59.6,59.8,58.9,0,58.8,753200
ULC,835.75,841.5,831,0,826.25,1180
UNIONCAP,100,100.5,98,0,98,113500
UNITEDAIR,46.4,46.5,45.7,0,46.2,603900
UNITEDINS,0,0,0,0,904.5,0
USMANIAGL,0,0,0,0,1355.25,0
UTTARABANK,79.7,80.9,78.9,0,79.4,155300
UTTARAFIN,183.8,183.9,181,0,180.6,22400
ZEALBANGLA,0,0,0,0,18.9,0
