MONNOCERA,723.25,733.75,720.00,729.50,3080
MONNOFABR,80.00,80.00,76.00,78.00,57850
MONNOJTX,2245.00,2250.00,2226.00,2226.00,70
MONNOSTAF,2531.00,2531.00,2430.00,2430.00,40
MPETROLEUM,193.30,193.30,188.30,191.00,1200
MTBL,379.50,380.00,369.00,369.00,18100
NATLIFEINS,7310.00,7334.00,7250.00,7319.00,65
NAVANACNG,169.80,170.00,168.00,168.90,64900
NBL,65.90,67.30,65.70,66.30,791100
NCCBANK,34.50,34.90,33.80,34.30,186000
NHFIL,1071.50,1071.50,1070.00,1070.00,500
NITOLINS,653.00,668.00,652.00,663.50,3300
NORTHERN,41.10,41.10,38.00,38.00,1000
NORTHRNINS,670.00,670.00,665.50,669.00,1150
NPOLYMAR,740.25,745.00,735.25,740.00,3230
NTC,4990.00,4990.00,4882.00,4988.00,730
NTLTUBES,944.75,944.75,933.00,939.00,1380
OCL,83.30,83.30,80.90,81.00,1600
OLYMPIC,1941.00,1942.00,1921.00,1939.75,3100
ONEBANKLTD,509.75,516.50,506.00,507.75,83450
ORIONINFU,668.00,672.00,656.00,672.00,6860
PADMACEM,26.90,27.90,25.60,27.90,1169500
PADMAOIL,729.00,744.90,725.00,730.00,280900
PARAMOUNT,524.00,535.00,524.00,534.75,7700
PEOPLESINS,48.50,49.00,47.50,48.20,87500
PF1STMF,12.30,12.40,12.30,12.30,21000
PHARMAID,2500.00,2565.00,2500.00,2535.00,85
PHENIXINS,90.00,90.00,87.10,88.00,600
PHOENIXFIN,950.75,955.00,950.00,955.00,2800
PHPMF1,7.90,8.00,7.90,8.00,107500
PIONEERINS,1007.00,1008.75,995.00,1007.50,1850
PLFSL,119.80,119.80,118.80,119.50,132400
POPULAR1MF,8.20,8.30,8.10,8.20,274000
POPULARLIF,381.00,392.00,381.00,384.50,18500
POWERGRID,809.00,809.00,802.00,802.00,700
PRAGATIINS,900.00,900.00,875.00,900.00,80
PRAGATILIF,3230.00,3230.00,3170.00,3225.00,1650
PREMIERBAN,33.90,33.90,33.40,33.70,84000
PREMIERLEA,742.00,748.00,739.00,747.00,6450
PRIME1ICBA,9.60,9.80,9.60,9.80,6500
PRIMEBANK,48.00,48.50,47.40,47.60,212250
PRIMEFIN,154.80,154.90,152.50,153.80,8850
PRIMEINSUR,72.00,72.60,72.00,72.60,2000
PRIMELIFE,323.20,325.00,323.20,325.00,700
PRIMETEX,541.00,541.00,541.00,541.00,250
PROGRESLIF,2625.00,2625.00,2585.50,2585.50,1050
PROVATIINS,559.00,563.00,550.00,558.00,2100
PUBALIBANK,56.60,56.80,54.90,55.40,222600
PURABIGEN,1157.50,1189.50,1156.00,1160.25,1050
QSMDRYCELL,86.00,88.50,86.00,88.00,31500
RAHIMAFOOD,440.00,440.00,440.00,440.00,100
RAHIMTEXT,2395.00,2400.00,2290.25,2400.00,95
RAKCERAMIC,105.90,110.00,105.60,109.70,436600
RANFOUNDRY,87.90,87.90,86.60,87.00,9000
